"Date","Price","Open","High","Low","Vol.","Change %"
"04/10/2025","12,403.00","12,684.00","12,825.96","12,341.72","198.55M","5.13%"
"04/09/2025","11,797.60","11,752.90","11,924.70","11,612.70","221.64M","-2.22%"
"04/08/2025","12,065.60","11,920.70","12,203.10","11,699.40","232.20M","2.37%"
"04/07/2025","11,785.80","12,091.30","12,322.80","11,583.00","423.01M","-5.12%"
"04/04/2025","12,422.00","13,084.00","13,091.60","12,236.40","371.36M","-5.83%"
"04/03/2025","13,191.20","13,141.30","13,281.30","13,107.40","209.80M","-1.19%"
"04/02/2025","13,350.20","13,268.20","13,350.20","13,234.90","107.76M","0.40%"
"04/01/2025","13,297.00","13,191.60","13,330.90","13,155.30","123.05M","1.23%"
"03/31/2025","13,135.40","13,224.60","13,249.80","13,051.80","167.06M","-1.31%"
"03/28/2025","13,309.30","13,363.40","13,440.90","13,258.20","121.57M","-0.84%"
"03/27/2025","13,422.60","13,328.30","13,463.40","13,270.80","107.01M","-0.07%"
"03/26/2025","13,432.20","13,484.90","13,505.90","13,414.30","109.26M","-0.39%"
"03/25/2025","13,484.30","13,368.80","13,515.10","13,363.50","111.20M","1.21%"
"03/24/2025","13,323.30","13,429.60","13,478.80","13,303.30","105.61M","-0.20%"
"03/21/2025","13,350.20","13,257.80","13,358.60","13,213.00","327.77M","0.33%"
"03/20/2025","13,306.30","13,407.50","13,464.70","13,232.90","131.94M","-0.76%"
"03/19/2025","13,408.10","13,271.20","13,427.90","13,248.10","118.52M","0.40%"
"03/18/2025","13,354.70","13,178.50","13,354.70","13,153.60","159.89M","1.58%"
"03/17/2025","13,147.20","13,009.60","13,147.20","12,974.20","112.26M","1.09%"
"03/14/2025","13,005.20","12,809.30","13,007.40","12,788.00","127.74M","1.43%"
"03/13/2025","12,821.30","12,743.10","12,894.90","12,729.00","112.71M","0.14%"
"03/12/2025","12,804.00","12,944.80","12,964.30","12,708.20","139.43M","-0.57%"
